
	华南理工大学	31168109,31168109,
创意艺术		277457122,277457122,265661002,265661002,304495810,304495810,279174065,279174065,304503292,304503292,284287480,284287480,305344988,305344988,269070865,269070865,282495703,282495703,304421794,304421794,
	
互联网	厦门	29316907,29316907,21108346,21108346,
计算机软件	芝加哥	53748568,53748568,346895765,346895765,31537241,31537241,336717781,336717781,343348904,343348904,343470319,343470319,340517006,340517006,58762730,58762730,321696018,321696018,317250430,317250430,
林业	长沙	309148105,309148105,61478739,61478739,267025690,267025690,267155943,267155943,37644358,37644358,266254687,266254687,38708083,38708083,266109196,266109196,266055423,266055423,27934611,27934611,
化工业		347487482,347487482,349970567,349970567,349852529,349852529,351399437,351399437,314235326,314235326,349794499,349794499,346024815,346024815,20300634,20300634,351886425,351886425,325245772,325245772,
水利能源	沈阳	337736701,337736701,311885728,311885728,321078879,321078879,29288818,29288818,320946543,320946543,317838645,317838645,295751948,295751948,309933588,309933588,289548198,289548198,288324648,288324648,
电影录音		347954489,347954489,351527837,351527837,344019917,344019917,345630781,345630781,349328737,349328737,346130613,346130613,350283581,350283581,349639326,349639326,347776143,347776143,346282105,346282105,
	我们的太空	304160528,48510028,304160528,351964089,48510028,351964089,351991857,48510028,351991857,351831350,48510028,351831350,351823646,48510028,351823646,351542727,48510028,351542727,349613825,48510028,349613825,348639185,48510028,348639185,347411547,48510028,347411547,347791409,48510028,347791409,
地产建筑	Imperial College	317265589,317265589,20400360,20400360,23709933,23709933,24196191,24196191,20640230,20640230,21973281,21973281,
	陈勇	27062686,27062686,26077880,26077880,20398616,20398616,20216574,20216574,22913650,22913650,25145037,25145037,47647183,47647183,22629470,22629470,28544155,28544155,30161095,30161095,
政府	湖南	320985173,320985173,347869019,347869019,351752719,351752719,349568449,349568449,311382617,311382617,351810026,351810026,343754603,343754603,347210268,347210268,339424230,339424230,339541457,339541457,
高等教育	青岛	330993785,48510028,330993785,330235820,48510028,330235820,24811233,48510028,24811233,321695737,48510028,321695737,31502257,48510028,31502257,23305736,48510028,23305736,328450551,48510028,328450551,21466753,48510028,21466753,324256166,48510028,324256166,325166718,48510028,325166718,
高新科技	北京大学	325346550,48510028,325346550,34279916,48510028,34279916,349114865,48510028,349114865,348029595,48510028,348029595,329067254,48510028,329067254,53394745,48510028,53394745,276481621,48510028,276481621,337322950,48510028,337322950,333069012,48510028,333069012,315608112,48510028,315608112,
互联网	Ehco	351948626,351948626,347503862,347503862,347839037,347839037,347312003,347312003,345307809,345307809,27641736,27641736,336574343,336574343,323247139,323247139,336055967,336055967,53460936,53460936,
	中山大学	349781196,48510028,349781196,349598228,48510028,349598228,68647249,48510028,68647249,347745552,48510028,347745552,331830864,48510028,331830864,32210468,48510028,32210468,340096565,48510028,340096565,339422830,48510028,339422830,21100102,48510028,21100102,338809806,48510028,338809806,
	混沌大学	20281460,48510028,20281460,22818974,48510028,22818974,321219463,48510028,321219463,19727047,48510028,19727047,318657727,48510028,318657727,321317538,48510028,321317538,306249128,48510028,306249128,23524562,48510028,23524562,19551084,48510028,19551084,21733358,48510028,21733358,
	刺猬大学	304838170,48510028,304838170,347938061,48510028,347938061,268961398,48510028,268961398,288290769,48510028,288290769,318628129,48510028,318628129,315012080,48510028,315012080,290543744,48510028,290543744,35953016,48510028,35953016,33635478,48510028,33635478,41088875,48510028,41088875,
电子游戏	永州	352361530,352361530,350706759,350706759,335183322,335183322,352173424,352173424,352116978,352116978,352076986,352076986,351900452,351900452,350868589,350868589,351525979,351525979,351508151,351508151,
	梅赛德斯-奔驰	31524027,48510028,31524027,265781540,48510028,265781540,306809846,48510028,306809846,41558555,48510028,41558555,
餐饮	四川	352231492,352231492,352143972,352143972,351190633,351190633,302479879,302479879,339489489,339489489,348508571,348508571,350823185,350823185,350336215,350336215,349022103,349022103,343141235,343141235,
	最高学历：胎教	349014495,349014495,349568449,349568449,31058230,31058230,31358636,31358636,308583858,308583858,294966068,294966068,68568499,68568499,343832187,343832187,344954942,344954942,286725777,286725777,
食品饮料业	上海	21738443,48510028,21738443,343850790,48510028,343850790,344865142,48510028,344865142,344788683,48510028,344788683,342272475,48510028,342272475,338376650,48510028,338376650,336253512,48510028,336253512,333463946,48510028,333463946,323400514,48510028,323400514,321107584,48510028,321107584,
科研	少司命	346999432,48510028,346999432,291597382,48510028,291597382,52579481,48510028,52579481,338619329,48510028,338619329,334681627,48510028,334681627,332903563,48510028,332903563,268218579,48510028,268218579,332837918,48510028,332837918,329510875,48510028,329510875,301668691,48510028,301668691,
艺术娱乐	上海	351145503,48509984,351145503,28247984,48509984,28247984,350126182,48509984,350126182,322990786,48509984,322990786,348181962,48509984,348181962,347358765,48509984,347358765,327906843,48509984,327906843,346215062,48509984,346215062,317516405,48509984,317516405,345293594,48509984,345293594,
资本投资	带头大哥	31160385,31160385,297452172,297452172,25670119,25670119,288688040,288688040,334316502,334316502,263474432,263474432,271847734,271847734,34200652,34200652,57196316,57196316,31905410,31905410,
互联网	北京	
创意艺术	新西兰	268450915,268450915,20939533,20939533,264714010,264714010,265983470,265983470,263366010,263366010,68758065,68758065,68268105,68268105,68264747,68264747,68423661,68423661,68480035,68480035,
	
高等教育	英国	352473175,48510028,352473175,351920965,48510028,351920965,346862321,48510028,346862321,23448791,48510028,23448791,349870265,48510028,349870265,346198994,48510028,346198994,348916228,48510028,348916228,345282592,48510028,345282592,334189586,48510028,334189586,340516766,48510028,340516766,
